id,age,Sex,Occupation,Field,Working Hours,Package,Job Type,Company Type,Marital Status,Location,Cerifications,Education_level,Bonus,Allowances,OverTime Pay,Salary Per Month
1,70,Female,Intermediate,CA,1 Hr,6 LPA,Remote,Non-Profit / NGO,Divorced,Metro,CFA (Chartered Financial Analyst),Professional Certification,"₹5,000 - ₹20,000",Medical Allowance,₹200/hour,77000 Rs
2,41,Male,Working professional,CA,3 Hr,27 LPA,Remote,Consultancy Firm,Divorced,Rural,AWS Certified Solutions Architect,Professional Certification,No Bonus,Multiple Allowances,₹300/hour,41000 Rs
3,33,Female,Intermediate,Finance,7 Hr,30 LPA,Remote,Outsourcing / Service-based Company,Single,City,Certified Data Scientist,Diploma,No Bonus,Medical Allowance,Compensatory Off (No extra pay),35000 Rs
4,50,Male,Experienced,CA,4 Hr,14 LPA,Hybrid,Contract / Temporary Employment,Married,Rural,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,Internet Allowance,No Overtime,95000 Rs
5,47,Female,Working professional,CA,4 Hr,17 LPA,Hybrid,Small Business / Local Firm,Single,City,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,145000 Rs
6,27,Male,Working professional,CA,4 Hr,14 LPA,Remote,Government Organization,Single,City,Lean Six Sigma,Professional Certification,"₹5,000 - ₹20,000",Housing Allowance,No Overtime,137000 Rs
7,20,Female,Working professional,IT,9 Hr,27 LPA,Hybrid,Product-based Company,Divorced,City,Microsoft Azure Fundamentals,Bachelor's Degree,"₹5,000 - ₹20,000",None,Compensatory Off (No extra pay),57000 Rs
8,66,Female,Working professional,Finance,5 Hr,7 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Rural,PMP (Project Management Professional),Professional Certification,"₹5,000 - ₹20,000",None,No Overtime,41000 Rs
9,32,Male,Experienced,IT,3 Hr,29 LPA,Full-Time,Startup (early-stage),Single,City,Microsoft Azure Fundamentals,High School,No Bonus,Medical Allowance,Compensatory Off (No extra pay),89000 Rs
10,67,Male,Experienced,IT,2 Hr,20 LPA,Remote,Small Business / Local Firm,Single,Rural,AWS Certified Solutions Architect,High School,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,71000 Rs
11,40,Male,Fresher,Digital marketing,7 Hr,22 LPA,Hybrid,Scale-up (growing startup),Married,City,Lean Six Sigma,Bachelor's Degree,No Bonus,Travel Allowance,₹200/hour,87000 Rs
12,42,Male,Working professional,IT,9 Hr,24 LPA,Hybrid,Government Organization,Single,Metro,Lean Six Sigma,PhD,"₹5,000 - ₹20,000",None,₹200/hour,105000 Rs
13,69,Female,Experienced,Digital marketing,3 Hr,25 LPA,Hybrid,Startup (early-stage),Married,Rural,Cisco CCNA,PhD,"₹20,000 - ₹50,000",None,₹200/hour,119000 Rs
